,Table,Column,DataType,ValueType,Formula,Hidden,Naming
167,MPC_dealers_offering,Part reseller,boolean,tableColumn,,0.0,MPC_dealers_offering[Part reseller]
160,MPC_dealers_offering,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,MPC_dealers_offering[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
165,MPC_dealers_offering,Sales,boolean,tableColumn,,0.0,MPC_dealers_offering[Sales]
166,MPC_dealers_offering,Service,boolean,tableColumn,,0.0,MPC_dealers_offering[Service]
169,MPC_dealers_offering,Type,string,tableColumn,,0.0,MPC_dealers_offering[Type]
168,MPC_dealers_offering,Used Car Sales,boolean,tableColumn,,0.0,MPC_dealers_offering[Used Car Sales]
162,MPC_dealers_offering,index,int64,tableColumn,,0.0,MPC_dealers_offering[index]
161,MPC_dealers_offering,level_0,int64,tableColumn,,0.0,MPC_dealers_offering[level_0]
164,MPC_dealers_offering,value,string,tableColumn,,0.0,MPC_dealers_offering[value]
172,MPC_dealers_offering,value_sorting,int64,calculated,"SWITCH( MPC_dealers_offering[value],
                            ""3S"", 1,
                            ""Sales + Service"", 2,
                            ""Sales only"", 3,
                            ""Service + Parts"", 4,
                            ""Service only"", 5,
                            ""Parts reseller"", 6
                            )",0.0,MPC_dealers_offering[value_sorting]
163,MPC_dealers_offering,variable,string,tableColumn,,0.0,MPC_dealers_offering[variable]
171,MPC_dealers_offering,variable_sorting,int64,calculated,"SWITCH( MPC_dealers_offering[variable],
                            ""MB PC"", 1,
                            ""Vans"", 2,
                            ""Trucks"", 3,
                            ""Special Trucks"", 4,
                            ""Bus"", 5 )",0.0,MPC_dealers_offering[variable_sorting]
176,MPCs_GDs,Address,string,tableColumn,,0.0,MPCs_GDs[Address]
178,MPCs_GDs,CEO's e-mail address,string,tableColumn,,0.0,MPCs_GDs[CEO's e-mail address]
177,MPCs_GDs,CEO,string,tableColumn,,0.0,MPCs_GDs[CEO]
179,MPCs_GDs,Country,string,tableColumn,,0.0,MPCs_GDs[Country]
191,MPCs_GDs,Country_Type,string,tableColumn,,0.0,MPCs_GDs[Country_Type]
190,MPCs_GDs,Country_mapping,string,tableColumn,,0.0,MPCs_GDs[Country_mapping]
197,MPCs_GDs,Dist_Rights EQ Image,string,calculated,"IF( MPCs_GDs[Dist_Rights EQ]=""yes"", ""✔"",""✖"")",0.0,MPCs_GDs[Dist_Rights EQ Image]
192,MPCs_GDs,Dist_Rights EQ,string,tableColumn,,0.0,MPCs_GDs[Dist_Rights EQ]
196,MPCs_GDs,Dist_Rights MB PC Image,string,calculated,"IF( MPCs_GDs[Dist_Rights MB Passenger Cars]=""yes"", ""✔"",""✖"")",0.0,MPCs_GDs[Dist_Rights MB PC Image]
193,MPCs_GDs,Dist_Rights MB Passenger Cars,string,tableColumn,,0.0,MPCs_GDs[Dist_Rights MB Passenger Cars]
198,MPCs_GDs,Dist_Rights Smart Image,string,calculated,"IF( MPCs_GDs[Dist_Rights Smart]=""yes"", ""✔"",""✖"")",0.0,MPCs_GDs[Dist_Rights Smart Image]
194,MPCs_GDs,Dist_Rights Smart,string,tableColumn,,0.0,MPCs_GDs[Dist_Rights Smart]
195,MPCs_GDs,Effective since (date),dateTime,tableColumn,,0.0,MPCs_GDs[Effective since (date)]
173,MPCs_GDs,EffectiveSinceMeasure,string,measure,"IF(ISBLANK(MIN(MPCs_GDs[Effective since (date)])),""-"",CONVERT(MIN(MPCs_GDs[Effective since (date)]),STRING))",0.0,MPCs_GDs[EffectiveSinceMeasure]
189,MPCs_GDs,Name,string,tableColumn,,0.0,MPCs_GDs[Name]
181,MPCs_GDs,Netmanager's e-mail address,string,tableColumn,,0.0,MPCs_GDs[Netmanager's e-mail address]
180,MPCs_GDs,Netmanager,string,tableColumn,,0.0,MPCs_GDs[Netmanager]
182,MPCs_GDs,Partner,string,tableColumn,,0.0,MPCs_GDs[Partner]
183,MPCs_GDs,Remarks,string,tableColumn,,0.0,MPCs_GDs[Remarks]
174,MPCs_GDs,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,MPCs_GDs[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
186,MPCs_GDs,Type,string,tableColumn,,0.0,MPCs_GDs[Type]
184,MPCs_GDs,Unnamed: 6,string,tableColumn,,0.0,MPCs_GDs[Unnamed: 6]
185,MPCs_GDs,Unnamed: 7,string,tableColumn,,0.0,MPCs_GDs[Unnamed: 7]
187,MPCs_GDs,displayLatitude,double,tableColumn,,0.0,MPCs_GDs[displayLatitude]
188,MPCs_GDs,displayLongitude,double,tableColumn,,0.0,MPCs_GDs[displayLongitude]
175,MPCs_GDs,id,int64,tableColumn,,0.0,MPCs_GDs[id]
612,Outlet Function Categories,Category,string,tableColumn,,0.0,Outlet Function Categories[Category]
613,Outlet Function Categories,Function,string,tableColumn,,0.0,Outlet Function Categories[Function]
611,Outlet Function Categories,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,Outlet Function Categories[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
614,Outlet Function Categories,Sorting,string,tableColumn,,0.0,Outlet Function Categories[Sorting]
408,ProfitDriverAnalysis,CYQ1,string,tableColumn,,0.0,ProfitDriverAnalysis[CYQ1]
409,ProfitDriverAnalysis,CYQ2,string,tableColumn,,0.0,ProfitDriverAnalysis[CYQ2]
410,ProfitDriverAnalysis,CYQ3,string,tableColumn,,0.0,ProfitDriverAnalysis[CYQ3]
411,ProfitDriverAnalysis,CYQ4,string,tableColumn,,0.0,ProfitDriverAnalysis[CYQ4]
397,ProfitDriverAnalysis,Country,string,tableColumn,,0.0,ProfitDriverAnalysis[Country]
398,ProfitDriverAnalysis,Country_mapping,string,tableColumn,,0.0,ProfitDriverAnalysis[Country_mapping]
395,ProfitDriverAnalysis,Evaluation,string,tableColumn,,0.0,ProfitDriverAnalysis[Evaluation]
396,ProfitDriverAnalysis,HasColor,boolean,tableColumn,,0.0,ProfitDriverAnalysis[HasColor]
400,ProfitDriverAnalysis,HeaderColsBGColor,string,calculated,"IF(ProfitDriverAnalysis[index]<2, ""#273746"", IF(ProfitDriverAnalysis[HasColor], ""#273746"", BLANK()))",0.0,ProfitDriverAnalysis[HeaderColsBGColor]
401,ProfitDriverAnalysis,HeaderColsFontColor,string,calculated,"IF(ProfitDriverAnalysis[index]<2, ""White"", ""#c2c2c2"")",0.0,ProfitDriverAnalysis[HeaderColsFontColor]
402,ProfitDriverAnalysis,Icons,int64,calculated,"SWITCH(
	ProfitDriverAnalysis[Evaluation],
	""High"",1,
	""Medium"",2,
	""Low"",3
)
",0.0,ProfitDriverAnalysis[Icons]
393,ProfitDriverAnalysis,Line items,string,tableColumn,,0.0,ProfitDriverAnalysis[Line items]
403,ProfitDriverAnalysis,LineItemReloadFont,string,calculated,"SUBSTITUTE(ProfitDriverAnalysis[Line items],""?"",""Δ"")",0.0,ProfitDriverAnalysis[LineItemReloadFont]
399,ProfitDriverAnalysis,NormalColsFontColor,string,calculated,"IF(ProfitDriverAnalysis[index]<2, ""White"", IF(ProfitDriverAnalysis[HasColor], ""#c2c2c2"", BLANK()))",0.0,ProfitDriverAnalysis[NormalColsFontColor]
406,ProfitDriverAnalysis,P2Y,string,tableColumn,,0.0,ProfitDriverAnalysis[P2Y]
405,ProfitDriverAnalysis,P3Y,string,tableColumn,,0.0,ProfitDriverAnalysis[P3Y]
407,ProfitDriverAnalysis,PY,string,tableColumn,,0.0,ProfitDriverAnalysis[PY]
404,ProfitDriverAnalysis,Root Cause for development,string,tableColumn,,0.0,ProfitDriverAnalysis[Root Cause for development]
390,ProfitDriverAnalysis,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,ProfitDriverAnalysis[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
394,ProfitDriverAnalysis,Unit,string,tableColumn,,0.0,ProfitDriverAnalysis[Unit]
392,ProfitDriverAnalysis,index,int64,tableColumn,,0.0,ProfitDriverAnalysis[index]
391,ProfitDriverAnalysis,level_0,int64,tableColumn,,0.0,ProfitDriverAnalysis[level_0]
593,Sales_Service_Capacity,2019,int64,tableColumn,,0.0,Sales_Service_Capacity[2019]
594,Sales_Service_Capacity,2020,int64,tableColumn,,0.0,Sales_Service_Capacity[2020]
595,Sales_Service_Capacity,2021,int64,tableColumn,,0.0,Sales_Service_Capacity[2021]
596,Sales_Service_Capacity,2022,int64,tableColumn,,0.0,Sales_Service_Capacity[2022]
597,Sales_Service_Capacity,2023,int64,tableColumn,,0.0,Sales_Service_Capacity[2023]
598,Sales_Service_Capacity,2024,int64,tableColumn,,0.0,Sales_Service_Capacity[2024]
599,Sales_Service_Capacity,2025,int64,tableColumn,,0.0,Sales_Service_Capacity[2025]
602,Sales_Service_Capacity,Color,string,calculated,"IF(Sales_Service_Capacity[IsHeader],""White"",IF(ISERROR(SEARCH(""Blank"",Sales_Service_Capacity[index])),""White"",""Black""))",0.0,Sales_Service_Capacity[Color]
605,Sales_Service_Capacity,Country,string,tableColumn,,0.0,Sales_Service_Capacity[Country]
606,Sales_Service_Capacity,Country_mapping,string,tableColumn,,0.0,Sales_Service_Capacity[Country_mapping]
603,Sales_Service_Capacity,IsHeader,boolean,tableColumn,,0.0,Sales_Service_Capacity[IsHeader]
604,Sales_Service_Capacity,LineItem,string,tableColumn,,0.0,Sales_Service_Capacity[LineItem]
601,Sales_Service_Capacity,Order,double,tableColumn,,0.0,Sales_Service_Capacity[Order]
590,Sales_Service_Capacity,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,Sales_Service_Capacity[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
600,Sales_Service_Capacity,Visual,string,tableColumn,,0.0,Sales_Service_Capacity[Visual]
592,Sales_Service_Capacity,index,string,tableColumn,,0.0,Sales_Service_Capacity[index]
591,Sales_Service_Capacity,level_0,int64,tableColumn,,0.0,Sales_Service_Capacity[level_0]
623,Sales_Service_Capacity_Pivot,Category,string,tableColumn,,0.0,Sales_Service_Capacity_Pivot[Category]
625,Sales_Service_Capacity_Pivot,Country,string,tableColumn,,0.0,Sales_Service_Capacity_Pivot[Country]
626,Sales_Service_Capacity_Pivot,Country_mapping,string,tableColumn,,0.0,Sales_Service_Capacity_Pivot[Country_mapping]
620,Sales_Service_Capacity_Pivot,IsHeader,boolean,tableColumn,,0.0,Sales_Service_Capacity_Pivot[IsHeader]
624,Sales_Service_Capacity_Pivot,LineItem,string,tableColumn,,0.0,Sales_Service_Capacity_Pivot[LineItem]
619,Sales_Service_Capacity_Pivot,Order,double,tableColumn,,0.0,Sales_Service_Capacity_Pivot[Order]
615,Sales_Service_Capacity_Pivot,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,Sales_Service_Capacity_Pivot[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
622,Sales_Service_Capacity_Pivot,Value,int64,tableColumn,,0.0,Sales_Service_Capacity_Pivot[Value]
618,Sales_Service_Capacity_Pivot,Visual,string,tableColumn,,0.0,Sales_Service_Capacity_Pivot[Visual]
621,Sales_Service_Capacity_Pivot,Year,string,tableColumn,,0.0,Sales_Service_Capacity_Pivot[Year]
617,Sales_Service_Capacity_Pivot,index,string,tableColumn,,0.0,Sales_Service_Capacity_Pivot[index]
616,Sales_Service_Capacity_Pivot,level_0,int64,tableColumn,,0.0,Sales_Service_Capacity_Pivot[level_0]
329,all_FactSheetModes,Mode,string,tableColumn,,0.0,all_FactSheetModes[Mode]
330,all_FactSheetModes,Name,string,tableColumn,,0.0,all_FactSheetModes[Name]
328,all_FactSheetModes,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,all_FactSheetModes[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
327,all_YearsQuarters,HasCounterMeasureData,boolean,calculated,COUNTROWS(RELATEDTABLE(CounterMeasure)) > 0,0.0,all_YearsQuarters[HasCounterMeasureData]
325,all_YearsQuarters,HasFactSheetData,boolean,calculated,COUNTROWS(RELATEDTABLE(FactSheet_Charts)) > 0,0.0,all_YearsQuarters[HasFactSheetData]
324,all_YearsQuarters,HasLowPerformersCurrentSitData,boolean,calculated,COUNTROWS(RELATEDTABLE(LowPerformer)) > 0 || COUNTROWS(RELATEDTABLE(CurrentSituation)) > 0,0.0,all_YearsQuarters[HasLowPerformersCurrentSitData]
323,all_YearsQuarters,HasMarginsData,boolean,calculated,COUNTROWS(RELATEDTABLE(margins_Templates_Countries_Years)) > 0,0.0,all_YearsQuarters[HasMarginsData]
326,all_YearsQuarters,HasTargetsData,boolean,calculated,COUNTROWS(RELATEDTABLE(FactSheet_Targets)) > 0,0.0,all_YearsQuarters[HasTargetsData]
321,all_YearsQuarters,Quarter,string,tableColumn,,0.0,all_YearsQuarters[Quarter]
317,all_YearsQuarters,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,all_YearsQuarters[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
322,all_YearsQuarters,YTDQuarter,string,tableColumn,,0.0,all_YearsQuarters[YTDQuarter]
319,all_YearsQuarters,Year Quarter,string,tableColumn,,0.0,all_YearsQuarters[Year Quarter]
320,all_YearsQuarters,Year,string,tableColumn,,0.0,all_YearsQuarters[Year]
318,all_YearsQuarters,index,int64,tableColumn,,0.0,all_YearsQuarters[index]
241,all_countries,Country Mapping,string,tableColumn,,0.0,all_countries[Country Mapping]
242,all_countries,Country Unique,string,tableColumn,,0.0,all_countries[Country Unique]
248,all_countries,HasCapacityData,boolean,calculated,COUNTROWS(RELATEDTABLE(Sales_Service_Capacity)) > 0,0.0,all_countries[HasCapacityData]
249,all_countries,HasCounterMeasureData,boolean,calculated,COUNTROWS(RELATEDTABLE(CounterMeasure)) > 0,0.0,all_countries[HasCounterMeasureData]
247,all_countries,HasDealerData,boolean,calculated,COUNTROWS(RELATEDTABLE(MPC_dealers)) > 0,0.0,all_countries[HasDealerData]
243,all_countries,HasFactSheetData,boolean,calculated,"
var country = MAX(all_countries[Country Unique])
return CALCULATE( COUNTROWS(FactSheet_Charts), USERELATIONSHIP(FactSheet_Charts[Country], all_countries[Country Unique]) ) > 0",0.0,all_countries[HasFactSheetData]
245,all_countries,HasLowPerformersCurrentSitData,boolean,calculated,COUNTROWS(RELATEDTABLE(LowPerformer)) > 0 || COUNTROWS(RELATEDTABLE(CurrentSituation)) > 0,0.0,all_countries[HasLowPerformersCurrentSitData]
244,all_countries,HasMarginsData,boolean,calculated,COUNTROWS(RELATEDTABLE(margins_Templates_Countries_Years)) > 0,0.0,all_countries[HasMarginsData]
246,all_countries,HasProfitDriverData,boolean,calculated,COUNTROWS(RELATEDTABLE(ProfitDriverAnalysis)) > 0,0.0,all_countries[HasProfitDriverData]
239,all_countries,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,all_countries[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
240,all_countries,index,int64,tableColumn,,0.0,all_countries[index]
487,margins_Templates,Name,string,tableColumn,,0.0,margins_Templates[Name]
482,margins_Templates,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,margins_Templates[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
485,margins_Templates,Template,string,tableColumn,,0.0,margins_Templates[Template]
484,margins_Templates,VehicleType,string,tableColumn,,0.0,margins_Templates[VehicleType]
486,margins_Templates,WordDoc,string,tableColumn,,0.0,margins_Templates[WordDoc]
483,margins_Templates,index,int64,tableColumn,,0.0,margins_Templates[index]
481,margins_Templates_Countries_Years,Country-Template-Year,string,tableColumn,,0.0,margins_Templates_Countries_Years[Country-Template-Year]
476,margins_Templates_Countries_Years,Country-Template,string,tableColumn,,0.0,margins_Templates_Countries_Years[Country-Template]
478,margins_Templates_Countries_Years,Country,string,tableColumn,,0.0,margins_Templates_Countries_Years[Country]
477,margins_Templates_Countries_Years,Country_mapping,string,tableColumn,,0.0,margins_Templates_Countries_Years[Country_mapping]
474,margins_Templates_Countries_Years,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,margins_Templates_Countries_Years[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
479,margins_Templates_Countries_Years,Template,string,tableColumn,,0.0,margins_Templates_Countries_Years[Template]
480,margins_Templates_Countries_Years,Year,string,tableColumn,,0.0,margins_Templates_Countries_Years[Year]
475,margins_Templates_Countries_Years,index,int64,tableColumn,,0.0,margins_Templates_Countries_Years[index]
472,margins_Years,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,DISTINCT(margins_Templates_Countries_Years[Year]),1.0,margins_Years[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
473,margins_Years,Year,string,calculatedTableColumn,DISTINCT(margins_Templates_Countries_Years[Year]),0.0,margins_Years[Year]
423,margins_body1,ColorType,double,tableColumn,,0.0,margins_body1[ColorType]
424,margins_body1,Country-Template-Year,string,tableColumn,,0.0,margins_body1[Country-Template-Year]
420,margins_body1,Country,string,tableColumn,,0.0,margins_body1[Country]
422,margins_body1,Country_mapping,string,tableColumn,,0.0,margins_body1[Country_mapping]
414,margins_body1,Header1,string,tableColumn,,0.0,margins_body1[Header1]
415,margins_body1,Header2,string,tableColumn,,0.0,margins_body1[Header2]
416,margins_body1,Header3,string,tableColumn,,0.0,margins_body1[Header3]
417,margins_body1,Header5,string,tableColumn,,0.0,margins_body1[Header5]
418,margins_body1,Header6,string,tableColumn,,0.0,margins_body1[Header6]
419,margins_body1,Header8,string,tableColumn,,0.0,margins_body1[Header8]
426,margins_body1,HeaderColBGColor,string,calculated,"SWITCH( margins_body1[ColorType],
                                0, ""#273746"",
                                1, ""#273746"",
                                2, ""Black"" )",0.0,margins_body1[HeaderColBGColor]
427,margins_body1,HeaderColFontColor,string,calculated,"SWITCH( margins_body1[ColorType],
                                0, ""White"",
                                1, ""White"",
                                2, ""White"" )",0.0,margins_body1[HeaderColFontColor]
428,margins_body1,NormalColsBGColor,string,calculated,"SWITCH(margins_body1[ColorType],
                            0, ""#273746"",
                            1, ""#273746"",
                            2, ""Black"" )",0.0,margins_body1[NormalColsBGColor]
429,margins_body1,NormalColsFontColor,string,calculated,"SWITCH( margins_body1[ColorType],
                                0, ""White"",
                                1, ""#66cef5"",
                                2, ""#66cef5"" )",0.0,margins_body1[NormalColsFontColor]
412,margins_body1,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,margins_body1[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
413,margins_body1,Template,string,tableColumn,,0.0,margins_body1[Template]
421,margins_body1,Year,string,tableColumn,,0.0,margins_body1[Year]
425,margins_body1,index,int64,tableColumn,,0.0,margins_body1[index]
438,margins_body2,ColorType,double,tableColumn,,0.0,margins_body2[ColorType]
439,margins_body2,Country-Template-Year,string,tableColumn,,0.0,margins_body2[Country-Template-Year]
435,margins_body2,Country,string,tableColumn,,0.0,margins_body2[Country]
437,margins_body2,Country_mapping,string,tableColumn,,0.0,margins_body2[Country_mapping]
432,margins_body2,Header1,string,tableColumn,,0.0,margins_body2[Header1]
433,margins_body2,Header2,string,tableColumn,,0.0,margins_body2[Header2]
434,margins_body2,Header6,string,tableColumn,,0.0,margins_body2[Header6]
441,margins_body2,HeadersBGColor,string,calculated,"SWITCH( margins_body2[ColorType],
                                0, ""#273746"",
                                1, ""#273746"",
                                2, ""Black"" )",0.0,margins_body2[HeadersBGColor]
430,margins_body2,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,margins_body2[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
431,margins_body2,Template,string,tableColumn,,0.0,margins_body2[Template]
436,margins_body2,Year,string,tableColumn,,0.0,margins_body2[Year]
440,margins_body2,index,int64,tableColumn,,0.0,margins_body2[index]
449,margins_body3,Country-Template-Year,string,tableColumn,,0.0,margins_body3[Country-Template-Year]
446,margins_body3,Country,string,tableColumn,,0.0,margins_body3[Country]
448,margins_body3,Country_mapping,string,tableColumn,,0.0,margins_body3[Country_mapping]
444,margins_body3,Header1,string,tableColumn,,0.0,margins_body3[Header1]
445,margins_body3,Header2,string,tableColumn,,0.0,margins_body3[Header2]
442,margins_body3,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,margins_body3[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
443,margins_body3,Template,string,tableColumn,,0.0,margins_body3[Template]
447,margins_body3,Year,string,tableColumn,,0.0,margins_body3[Year]
450,margins_body3,index,int64,tableColumn,,0.0,margins_body3[index]
458,margins_sentences,ColorType,double,tableColumn,,0.0,margins_sentences[ColorType]
460,margins_sentences,Country-Template-Year,string,tableColumn,,0.0,margins_sentences[Country-Template-Year]
455,margins_sentences,Country,string,tableColumn,,0.0,margins_sentences[Country]
457,margins_sentences,Country_mapping,string,tableColumn,,0.0,margins_sentences[Country_mapping]
453,margins_sentences,DataType,string,tableColumn,,0.0,margins_sentences[DataType]
454,margins_sentences,Header1,string,tableColumn,,0.0,margins_sentences[Header1]
459,margins_sentences,Market Title,string,calculated,"CONCATENATE(""Mercedes-Benz "",margins_sentences[Country_mapping])",0.0,margins_sentences[Market Title]
451,margins_sentences,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,margins_sentences[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
452,margins_sentences,Template,string,tableColumn,,0.0,margins_sentences[Template]
456,margins_sentences,Year,string,tableColumn,,0.0,margins_sentences[Year]
461,margins_sentences,index,int64,tableColumn,,0.0,margins_sentences[index]
470,margins_signature,Country-Template-Year,string,tableColumn,,0.0,margins_signature[Country-Template-Year]
467,margins_signature,Country,string,tableColumn,,0.0,margins_signature[Country]
469,margins_signature,Country_mapping,string,tableColumn,,0.0,margins_signature[Country_mapping]
464,margins_signature,Header1,string,tableColumn,,0.0,margins_signature[Header1]
465,margins_signature,Header2,string,tableColumn,,0.0,margins_signature[Header2]
466,margins_signature,Header3,string,tableColumn,,0.0,margins_signature[Header3]
462,margins_signature,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,margins_signature[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
463,margins_signature,Template,string,tableColumn,,0.0,margins_signature[Template]
468,margins_signature,Year,string,tableColumn,,0.0,margins_signature[Year]
471,margins_signature,index,int64,tableColumn,,0.0,margins_signature[index]
