,Company ID,Address,Country
22,GC0037971,"433, Waryong-ro 41753 Daegu",South Korea
23,GC0037971,"448, Waryong-ro 41759 Daegu",South Korea
24,GC0037971,150 Dongdaegu-ro 42110 Daegu,South Korea
25,GC0037971,"427, Waryong-ro, Seo-gu 41759 Daegu",South Korea
26,GC0037969,"1138, Hanbat-daero 34427 Daejeon",South Korea
27,GC0037969,11 Sintanjin-ro 583bun-gil 34334 Daejeon,South Korea
28,GC0037969,"62, Daehak-ro 34185 Daejeon",South Korea
29,GC0037969,7 Sintanjin-ro 115beon-gil 34351 Daejeon,South Korea
30,GC0037972,420-7 Sau-dong 415-802 Gimpo-si,South Korea
31,GC0037972,"14 Mosan-ro, Yangchon-eup 10064 Gimpo-si",South Korea
32,GC0011433,"50, Beopgot-gil 115beon-gil 10203 Goyang-si",South Korea
33,GC0011433,"82, Beopgot-gil 10220 Goyang-si",South Korea
34,GC0011433,"231, Hosu-ro 10436 Goyang-si",South Korea
35,GC0011433,"6 Tongil-ro 214beon-gil, Deogyang-gu 10583 Goyang-si",South Korea
36,GC0011433,"211, Seongseok-ro, Ilsandong-gu 10329 Goyang-si",South Korea
37,GC0011423,Baekleung 3-Gil 2 54077  Gunsan-si,South Korea
38,GC0011430,13 Handari-gil 11955 Guri-si,South Korea
39,GC0066297,67  Pyeongdongsandan-ro 506-501 Gwangju,South Korea
40,GC0024998,"105, Pyeongdongsandan 3beon-ro, Gwangsan-gu, Gwangju 62414 Gwangju",South Korea
41,GC0011434,"1041, Sangmu-daero 61975 Gwangju",South Korea
42,GC0011434,"20, Eodeung-daero 603beon-gil 62388 Gwangju",South Korea
43,GC0011434,"516 Imbangul-daero, Gwangsan-gu 62245 Gwangju",South Korea
44,GC0025489,"703, Yangyeon-ro, Jeongok-eup, Yeoncheon-gun, Gyeonggi-do 11041 Gyeonggi-Do",South Korea
45,GC0011609,"100-9, Pyeongchon-gil, Gonjiam-eup, Gwangju-si, Gyeonggi-do	   12806 Gyeonggi-do",South Korea
46,GC0024259,"4, Jangji 4-gil, Gunbuk-myeon, Haman-gun, Gyeongsangnam-do 52063 Gyeongsangnam-do",South Korea
47,GC0022799,"6 Yangsan ICD, Jeungsan-ri, Mulgeum-eup, Yangsan-si, Gyeongsangnam-do 50615 Gyeongsangnam-do",South Korea
48,GC0011430,"750, Misa-daero, Starfield hanam 12942 Hanam-si",South Korea
49,GC0022800,"48, Jungbong-daero 68beon-gil, Dong-gu, Incheon  22534  Incheon",South Korea
50,GC0037969,"651, Inju-daero,  21565 Incheon",South Korea
51,GC0037969,"56, Chukhang-daero 86beon-gil,  22348 Incheon",South Korea
52,GC0037969,"160, Central-ro,  22003 Incheon",South Korea
53,GC0037969,"398, Gilju-ro 21361 Incheon",South Korea
54,GC0037969,"M park hub, Bongsu-daero 158 22840 Incheon",South Korea
55,GC0011603,"94, Wolmi-ro, Jung-gu, Incheon 22300 Incheon",South Korea
56,GC0035369,"24, Danyang-ro 14-gil, Jecheon-si, Chungcheongbuk-do 27134 Jecheon",South Korea
57,GC0022907,"505, Hangmong-ro, Aewol-eup, Jeju-si, Jeju-do 695-902 Jeju",South Korea
58,GC0037972,10 Wondang-ro 63316 Jeju-si,South Korea
59,GC0037972,101 Yeonsam-ro 63148 Jeju-si,South Korea
60,GC0037972,"407, Iljudong-ro 63316 Jeju-si",South Korea
61,GC0025488,"361-26, Iseonam-ro, Iseo-myeon, Wanju_Gun, Jeollabuk-do 55366 Jeollabuk-do",South Korea
62,GC0011612,"256 Jechul-ro, Gwangyang-eup, Gwangyang-si, Jeollanam-do 57759 Jeollanam-do",South Korea
63,GC0011423,"468, Ongoeul-ro 54854 Jeonju-si",South Korea
64,GC0040022,"52, Angol-ro, 51609  Jinhae-gu, Chang-won-si, Gyeongsangnam-do",South Korea
65,GC0011432,257 Gangnam-ro 52721 Jinju-si,South Korea
66,GC0011432,875 Namgang-ro 52787 Jinju-si,South Korea
67,GC0044983,"1288-8, Yeoncheong-ro 28185 Nami-myeon, Seowon-gu, Cheongju-si, Chungcheongbuk",South Korea
68,GC0011433,66  Dangdong 1-ro 10819 Paju-si,South Korea
69,GC0037971,210 Saecheonnyeon-daero 37655 Pohang-si,South Korea
70,GC0037969,1307 Seongnam-daero 13109  Seongnam-si,South Korea
71,GC0037969,13 Daewangpangyo-ro 385beon-gil 13543 Seongnam-si,South Korea
72,GC0037969,182 Pangyo-ro 13474 Seongnam-si,South Korea
73,GC0037969,"36, Yeosu-daero, Sujeong-gu 13445 Seongnam-si",South Korea
74,GC0011430,"7, Buljeong-ro, Bundang-gu 13560 Seongnam-si",South Korea
75,GC0037969,"1, Seohyeon-ro 321beon-gil,  13577 Seongnam-si,",South Korea
76,GC0013888,"Dogok-ro 37gil-6, Gangnam-gu 06230 Seoul",South Korea
77,GC0037969,"239, Dosan-daero 06026 Seoul",South Korea
78,GC0037969,"334, Yeongdong-daero 06177 Seoul",South Korea
79,GC0037969,"55, Dongil-ro,  04786 Seoul",South Korea
80,GC0037969,"137, Bangbae-ro 06672 Seoul",South Korea
81,GC0037969,"Jeonjaland Center 1F, 74, Cheongpa-ro, 04372 Seoul",South Korea
82,GC0037969,"22, Nambusunhwan-ro 294-gil 06759 Seoul",South Korea
83,GC0037969,17 Moraenae-ro 03938 Seoul,South Korea
84,GC0037969,"277, Garam-gil 04808 Seoul",South Korea
85,GC0037969,"52, Banpo-daero 06652 Seoul",South Korea
86,GC0037969,"96 CarSeoul.com Bldg. 1F, Jadongchasijang 1-gil 04808 Seoul",South Korea
87,GC0037969,"617, Eonju-ro 06107 Seoul",South Korea
88,GC0037969,204-3 Jagok-ro 06373 Seoul,South Korea
89,GC0037969,"418, Bongeunsa-ro 06153 Seoul",South Korea
90,GC0037969,"727, Heolleung-ro 06378 Seoul",South Korea
91,GC0037969,414 Dosan-daero 06062 Seoul,South Korea
92,GC0037969,207 Baumoe-ro 06745 Seoul,South Korea
93,GC0037969,"117, Dongil-ro 04798 Seoul",South Korea
94,GC0037972,665 Gonghang-daero 07557 Seoul,South Korea
95,GC0037972,233 Dobong-ro 01118 Seoul,South Korea
96,GC0037972,"36 #201, Seoul Autogallary Geum Kwan, Yangjae-daero 11-gil 06772 Seoul",South Korea
97,GC0037972,"113, Yeouidaebang-ro 07433 Seoul",South Korea
98,GC0037972,169 Siheung-daero 08636 Seoul,South Korea
99,GC0037972,188 Mapo-daero 04207 Seoul,South Korea
100,GC0037972,249 Itaewon-ro 04348 Seoul,South Korea
101,GC0037972,9 Madeul-ro 18-gil 01407 Seoul,South Korea
102,GC0037973,"360, Cheonho-daero 04808 Seoul",South Korea
103,GC0037973,"261, Mangu-ro 02098 Seoul",South Korea
104,GC0011430,"284, Gangnam-daero 06258 Seoul",South Korea
105,GC0011430,9 Nambusunhwan-ro 365-gil 06271 Seoul,South Korea
106,GC0011430,65 Hyoryeong-ro 55-gil 06651 Seoul,South Korea
107,GC0011430,"6, Jeongui-ro 8-gil, 05836 Seoul",South Korea
108,GC0011430,"10, Wiryeseong-daero, Songpa-gu 05544 Seoul",South Korea
109,GC0024048,"300-78, Seongsu-dong 2ga, Seongdong-gu 04793 Seoul",South Korea
110,GC0037970,Jibong-ro 237 58005 Suncheon-si,South Korea
111,GC0011433,309 Simin-ro 11748 Uijeongbu-si,South Korea
112,GC0011422,"83, Samsan-ro 44691 Ulsan",South Korea
113,GC0011422,"19, Namjung-ro 74beon-gil 44691 Ulsan",South Korea
114,GC0037969,"3, Jeongji-gil 26332 Wonju",South Korea
115,GC0037969,"2477, Bugwon-ro 26343 Wonju-si",South Korea
116,GC0037969,"242, Jungbu-daero 16530 Yongin",South Korea
117,GC0011430,"91-7, Poeun-daero, Suji-gu, Yongin-si, Gyeonggi-do 16863 Yongin",South Korea
118,GC0011430,"147, Poeun-daero, Suji-gu, Yongin-si, Gyeonggi-do, Republic of Korea 16862 Yongin",South Korea
119,GC0011430,"2749, Yonggu-daero 16869 Yongin-si",South Korea
120,GC0037969,"23-2, Jungbu-daero 16955 Yongin-si,",South Korea
0,GC0025768,335/9 Bangna-Trat Km.19 10540 Bang Chalong,Thailand
1,GC0038940,88/1-2 Kanchanapisek Road 10160 Bangkok,Thailand
2,GC0002875,3888 Sukhumvit Road 10260 Bangkok,Thailand
3,GC0002878,"99 Vipawadeerangsit, 40 Alley 10900 Bangkok",Thailand
4,GC0011387,487 Rama 3 Road 10120 Bangkok,Thailand
5,GC0002883,1195 Phaholyothin Road 10400 Bangkok,Thailand
6,GC0002868,"134, 136 Boromratchachonnani Road 10170 Bangkok",Thailand
7,GC0011406,2595 Ladprao Road 10310 Bangkok,Thailand
8,GC0024500,18 Soi Ramintra 22 10230 Bangkok,Thailand
9,GC0032555,137/3  Rama 2 Road 10150 Bangkok,Thailand
10,GC0022972,61 Wiphawadi Rangsit Road 10400 Bangkok,Thailand
11,GC0011389,1114 Srinakarin Road 10250 Bangkok,Thailand
12,GC0002882,2265 2297 Pattanakarn Road 10250 Bangkok,Thailand
13,GC0011234,1024 Rama 4 Road 10120 Bangkok,Thailand
14,GC0011234,"62-74 3rd Building, Rachadamnoen Avenue 10200 Bangkok",Thailand
15,GC0011234,198 Ngam  Wong Wan Road 10210 Bangkok,Thailand
16,GC0011234,120 Rachadamnoen Avenue 10200 Bangkok,Thailand
17,GC0002866,"540/5,6,8 Sukhumvit 55 (Soi Thonglor) Sukhumvit road 10110 Bangkok",Thailand
18,GC0011407,28/11 Moo 11 Sukhumvit Road 22000 Chantaburi,Thailand
19,GC0002884,3 Ratanakosin Road 50200 Chiang Mai,Thailand
20,GC0002872,99/99 Moo 3 Sukhumvit Road 20000 Chonburi,Thailand
21,GC0035640,195/8 Moo 2 20150 Chonburi,Thailand
22,GC0011385,19 Moo 20 Maliwan Road 40000 Khonkaen,Thailand
23,GC0002880,499 Petkasem Road 73000 Nakhon Pathom,Thailand
24,GC0028360,1111 Moo 1 30000 Nakornratchasima,Thailand
25,GC0011416,71 Moo 6 11120 Nontaburi,Thailand
26,GC0011409,108/78 Village No. 5 11120 Nonthaburi,Thailand
27,GC00100307,Soi Ngamwongwan 9 Yeak 7 11000 Nonthabuti,Thailand
28,GC0002876,146 Moo 2 Tiwanon Road 12000 Pathumthani,Thailand
29,GC0002885,"342/3  Moo 7, Mittraphap Road 65000 Phitsanulok",Thailand
30,GC0002886,20/5 Moo 2 Thepkrasatri Road 83000 Phuket,Thailand
31,GC0030134,"59/37 Soi Moobaan Borfai, Petchkasem Road 77110 Prachuap Khiri Khan",Thailand
32,GC0011415,95 Moo 5 Songphol Road 70110 Ratchaburi,Thailand
33,GC00101681,"888 Bang Na-Trat, Km.19 10540 Samut Prakarn",Thailand
34,GC0031890,86 Sai Asia 90250 Songkhla,Thailand
35,GC0002864,850 Petkasem Road 90110 Songkhla,Thailand
36,GC0031893,111/1 N/A 72210 Suphanburi,Thailand
37,GC0044014,28 Moo 3 84000 Suratthani,Thailand
38,GC0011395,365 Moo 14 34000 Ubon Ratchathani,Thailand
39,GC0011393,155/5 Moo 14 41000 Udonthani,Thailand
0,GC0001502,Ceyhan Yolu Üzeri 5.km Polis Okulu Karşısı Yüreğir 01310 Adana,Turkey
1,GC0001502,Yeşil Oba Mahallesi 7. Sokak No: 53 01100 Adana,Turkey
2,GC0058184,Yeşiloba Mahallesi 46075 sk. No:4A Seyhan 01210 Adana,Turkey
3,GC0001516,Aratol İstiklal Mahallesi 135/Necmettin Erbakan Bulvarı No:65  68100 Aksaray,Turkey
4,GC0010130,"İstanbul Yolu 5.Km No:175 Sarıköy, Merzifon 05300 Amasya",Turkey
5,GC0017355,"Bahçekapı Mahallesi Sanayi Bulvarı No:13/1,2 Etimesgut 06370 Ankara",Turkey
6,GC0010141,"Bahçekapı Mahallesi, Şaşmaz Sanayi Bulvarı No:22/ 49-50 Etimesgut 06105 Ankara",Turkey
7,GC0024546,Bahçekapı Mahallesi Sanayi Bulvarı No:22 / 43-44-45-46-47-48 Etimesgut 06105 Ankara,Turkey
8,GC0001507,"Ehlibeyt Mahallesi, Mevlana Bulvarı, No:199/A 06 520 Ankara",Turkey
9,GC0001507,Karaoğlan Mahallesi Ankara Caddesi No:207 - 209 06 830 Ankara,Turkey
10,GC0008307,"Uğur Mumcu Mahallesi Fatih Sultan Mehmet Bulvarı No: 314, Yenimahalle 06370 Ankara",Turkey
11,GC0008307,Fethiye Mahallesi Serpmeleri (Ankara Lojistik Üssü) No:155/A  Kahramankazan 06980 Ankara,Turkey
12,GC0008307,"Fatih Sultan Mahallesi Koru Kavşağı 2719 Cadde No: 10A/1-2,10B Ümitköy 06790 Ankara",Turkey
13,GC0001517,"Altınkale Mahallesi Akdeniz Bulvarı No:205, Döşemealtı, Antalya 07 190 Antalya",Turkey
14,GC0001517,Göksu Mah. Gazi Bulvarı 92. Sokak No: 465 Kepez 07260 Antalya,Turkey
15,GC0025391,Yenigöl Mah. Serik Cad. No: 24 / K  Muratpaşa / Antalya 07230 Antalya,Turkey
16,GC0001521,Panayır Mahallesi Yeni Yalova Yolu No: 438 16 303 Bursa,Turkey
